timestamp,window_start,window_end,endpoint,latency,error_rate,request_rate,error_category,avg_latency,max_latency,latency_std,errors_per_window,endpoint_frequency,request_count_window,timeout_error_share,system_error_share,validation_error_share,database_error_share,source,window_size_seconds,is_ground_truth_anomaly,anomaly_score,is_observation_anomaly
2026-03-07T14:25:26.000Z,2026-03-07T14:24:56.000Z,2026-03-07T14:25:26.000Z,/api/db,7.91,0,0.033333,NONE,7.91,7.91,0,0,0.016949,1,0,0,0,0,prometheus_replay,30,false,0.454805,false
2026-03-07T14:25:26.000Z,2026-03-07T14:24:56.000Z,2026-03-07T14:25:26.000Z,/api/error,1.31,1,0.066667,SYSTEM_ERROR,1.405,1.5,0.095,2,0.033898,2,0,1,0,0,prometheus_replay,30,false,0.494595,false
2026-03-07T14:25:26.000Z,2026-03-07T14:24:56.000Z,2026-03-07T14:25:26.000Z,/api/normal,1.34,0,1.4,NONE,1.734,9.15,1.397,0,0.711864,42,0,0,0,0,prometheus_replay,30,false,0.467474,false
2026-03-07T14:25:26.000Z,2026-03-07T14:24:56.000Z,2026-03-07T14:25:26.000Z,/api/slow,6013.42,0.333333,0.4,TIMEOUT_ERROR,2008.724,6014.79,2497.884,4,0.20339,12,0.333333,0,0,0,prometheus_replay,30,false,0.57625,false
2026-03-07T14:25:26.000Z,2026-03-07T14:24:56.000Z,2026-03-07T14:25:26.000Z,/api/validate,7.01,1,0.066667,VALIDATION_ERROR,46.9,86.79,39.89,2,0.033898,2,0,0,1,0,prometheus_replay,30,false,0.615975,false
2026-03-07T14:25:27.000Z,2026-03-07T14:24:57.000Z,2026-03-07T14:25:27.000Z,/api/db,7.91,0,0.033333,NONE,7.91,7.91,0,0,0.016949,1,0,0,0,0,prometheus_replay,30,false,0.454805,false
2026-03-07T14:25:27.000Z,2026-03-07T14:24:57.000Z,2026-03-07T14:25:27.000Z,/api/error,1.31,1,0.066667,SYSTEM_ERROR,1.405,1.5,0.095,2,0.033898,2,0,1,0,0,prometheus_replay,30,false,0.494595,false
2026-03-07T14:25:27.000Z,2026-03-07T14:24:57.000Z,2026-03-07T14:25:27.000Z,/api/normal,1.34,0,1.4,NONE,1.734,9.15,1.397,0,0.711864,42,0,0,0,0,prometheus_replay,30,false,0.467474,false
2026-03-07T14:25:27.000Z,2026-03-07T14:24:57.000Z,2026-03-07T14:25:27.000Z,/api/slow,6013.42,0.333333,0.4,TIMEOUT_ERROR,2008.724,6014.79,2497.884,4,0.20339,12,0.333333,0,0,0,prometheus_replay,30,false,0.57625,false
2026-03-07T14:25:27.000Z,2026-03-07T14:24:57.000Z,2026-03-07T14:25:27.000Z,/api/validate,7.01,1,0.066667,VALIDATION_ERROR,46.9,86.79,39.89,2,0.033898,2,0,0,1,0,prometheus_replay,30,false,0.615975,false
2026-03-07T14:25:28.000Z,2026-03-07T14:24:58.000Z,2026-03-07T14:25:28.000Z,/api/db,7.91,0,0.033333,NONE,7.91,7.91,0,0,0.016949,1,0,0,0,0,prometheus_replay,30,false,0.454805,false
2026-03-07T14:25:28.000Z,2026-03-07T14:24:58.000Z,2026-03-07T14:25:28.000Z,/api/error,1.31,1,0.066667,SYSTEM_ERROR,1.405,1.5,0.095,2,0.033898,2,0,1,0,0,prometheus_replay,30,false,0.494595,false
2026-03-07T14:25:28.000Z,2026-03-07T14:24:58.000Z,2026-03-07T14:25:28.000Z,/api/normal,1.34,0,1.4,NONE,1.734,9.15,1.397,0,0.711864,42,0,0,0,0,prometheus_replay,30,false,0.467474,false
2026-03-07T14:25:28.000Z,2026-03-07T14:24:58.000Z,2026-03-07T14:25:28.000Z,/api/slow,6013.42,0.333333,0.4,TIMEOUT_ERROR,2008.724,6014.79,2497.884,4,0.20339,12,0.333333,0,0,0,prometheus_replay,30,false,0.57625,false
2026-03-07T14:25:28.000Z,2026-03-07T14:24:58.000Z,2026-03-07T14:25:28.000Z,/api/validate,7.01,1,0.066667,VALIDATION_ERROR,46.9,86.79,39.89,2,0.033898,2,0,0,1,0,prometheus_replay,30,false,0.615975,false
2026-03-07T14:25:29.000Z,2026-03-07T14:24:59.000Z,2026-03-07T14:25:29.000Z,/api/db,7.91,0,0.033333,NONE,7.91,7.91,0,0,0.016667,1,0,0,0,0,prometheus_replay,30,false,0.45697,false
2026-03-07T14:25:29.000Z,2026-03-07T14:24:59.000Z,2026-03-07T14:25:29.000Z,/api/error,1.31,1,0.066667,SYSTEM_ERROR,1.405,1.5,0.095,2,0.033333,2,0,1,0,0,prometheus_replay,30,false,0.494595,false
2026-03-07T14:25:29.000Z,2026-03-07T14:24:59.000Z,2026-03-07T14:25:29.000Z,/api/normal,1.34,0,1.4,NONE,1.734,9.15,1.397,0,0.7,42,0,0,0,0,prometheus_replay,30,false,0.465151,false
2026-03-07T14:25:29.000Z,2026-03-07T14:24:59.000Z,2026-03-07T14:25:29.000Z,/api/slow,6014.86,0.384615,0.433333,TIMEOUT_ERROR,2316.888,6014.86,2626.604,5,0.216667,13,0.384615,0,0,0,prometheus_replay,30,false,0.599758,false
2026-03-07T14:25:29.000Z,2026-03-07T14:24:59.000Z,2026-03-07T14:25:29.000Z,/api/validate,7.01,1,0.066667,VALIDATION_ERROR,46.9,86.79,39.89,2,0.033333,2,0,0,1,0,prometheus_replay,30,false,0.615332,false
2026-03-07T14:25:30.000Z,2026-03-07T14:25:00.000Z,2026-03-07T14:25:30.000Z,/api/db,7.91,0,0.033333,NONE,7.91,7.91,0,0,0.015385,1,0,0,0,0,prometheus_replay,30,false,0.456766,false
2026-03-07T14:25:30.000Z,2026-03-07T14:25:00.000Z,2026-03-07T14:25:30.000Z,/api/error,7.11,1,0.1,SYSTEM_ERROR,3.307,7.11,2.69,3,0.046154,3,0,1,0,0,prometheus_replay,30,false,0.555214,false
2026-03-07T14:25:30.000Z,2026-03-07T14:25:00.000Z,2026-03-07T14:25:30.000Z,/api/normal,1.49,0,1.5,NONE,1.704,9.15,1.356,0,0.692308,45,0,0,0,0,prometheus_replay,30,false,0.46527,false
2026-03-07T14:25:30.000Z,2026-03-07T14:25:00.000Z,2026-03-07T14:25:30.000Z,/api/slow,193.91,0.357143,0.466667,TIMEOUT_ERROR,2165.247,6014.86,2589.44,5,0.215385,14,0.357143,0,0,0,prometheus_replay,30,false,0.571922,false
2026-03-07T14:25:30.000Z,2026-03-07T14:25:00.000Z,2026-03-07T14:25:30.000Z,/api/validate,7.01,1,0.066667,VALIDATION_ERROR,46.9,86.79,39.89,2,0.030769,2,0,0,1,0,prometheus_replay,30,false,0.614292,false
2026-03-07T14:25:31.000Z,2026-03-07T14:25:01.000Z,2026-03-07T14:25:31.000Z,/api/db,22.25,0,0.066667,NONE,15.08,22.25,7.17,0,0.026667,2,0,0,0,0,prometheus_replay,30,false,0.48129,false
2026-03-07T14:25:31.000Z,2026-03-07T14:25:01.000Z,2026-03-07T14:25:31.000Z,/api/error,7.11,1,0.1,SYSTEM_ERROR,3.307,7.11,2.69,3,0.04,3,0,1,0,0,prometheus_replay,30,false,0.55456,false
